Tag_id;Name;Description
1;Головні новини;Найважливіші події дня
2;Політика;Останні новини з політичного світу
3;Економіка;Новини та аналітика в сфері економіки
4;Культура;Новини про культурні події, фестивалі та виставки
5;Спорт;Останні новини зі світу спорту
6;Світові новини;Події, що впливають на глобальний контекст
7;Україна;Новини, що стосуються України
8;Технології;Огляди нових технологій, гаджетів і інновацій
9;Здоров’я;Новини в медицині та здоровому способі життя
10;Наука;Останні досягнення та відкриття у науці
11;Екологія;Новини про стан навколишнього середовища
12;Безпека;Новини та поради з безпеки в різних сферах
13;Фінанси;Останні новини з світу фінансів, ринку цінних паперів та банківських послуг
14;Освіта;Події у сфері освіти, новини навчальних закладів
15;Регіони;Новини з різних регіонів країни
16;Право;Новини, що стосуються правових питань, судових справ
17;Розслідування;Глибокі розслідування актуальних подій
18;Події дня;Щоденні важливі події, огляди
19;Міжнародні відносини;Події у міжнародній політиці та дипломатії
20;Кримінал;Останні новини про злочини та розслідування
21;Шоу-бізнес;Новини з світу шоу-бізнесу, знаменитостей
22;Погода;Оновлення про погоду та прогнози на майбутнє
23;Інтерв’ю;Інтерв'ю з відомими людьми, експертами та політиками
